Date,Open,High,Low,Close,Adj Close,Volume
2016-08-29,14.750000,15.200000,14.660000,14.870000,14.870000,3643400
2016-08-30,15.000000,15.320000,14.750000,14.860000,14.860000,4731200
2016-08-31,14.940000,15.050000,14.560000,14.650000,14.650000,3844600
2016-09-01,14.940000,14.950000,14.140000,14.530000,14.530000,5564400
2016-09-02,14.570000,14.700000,14.040000,14.130000,14.130000,5783300
2016-09-06,14.220000,14.660000,14.100000,14.570000,14.570000,4836100
2016-09-07,14.440000,14.660000,13.660000,13.880000,13.880000,7384000
2016-09-08,14.120000,14.120000,13.380000,13.580000,13.580000,6152700
2016-09-09,13.480000,13.550000,12.830000,12.850000,12.850000,7071700
2016-09-12,12.610000,13.530000,12.580000,13.200000,13.200000,6565700
2016-09-13,13.130000,13.170000,12.620000,12.800000,12.800000,5320400
2016-09-14,12.810000,13.250000,12.810000,13.070000,13.070000,5102900
2016-09-15,13.210000,14.230000,13.130000,14.160000,14.160000,8111300
2016-09-16,14.660000,15.070000,14.510000,14.960000,14.960000,17463500
2016-09-19,15.600000,16.440001,15.000000,15.310000,15.310000,35136400
2016-09-20,15.690000,15.700000,13.891000,14.260000,14.260000,22467800
2016-09-21,14.620000,15.050000,14.260000,14.970000,14.970000,10497600
2016-09-22,15.300000,16.420000,15.130000,16.049999,16.049999,18576500
2016-09-23,16.120001,17.407000,16.100000,17.150000,17.150000,20181000
2016-09-26,16.820000,17.180000,16.510000,16.920000,16.920000,8883300
2016-09-27,16.719999,17.350000,15.845000,16.790001,16.790001,14304800
2016-09-28,16.570000,17.200001,16.469999,16.990000,16.990000,7946100
2016-09-29,16.860001,16.910000,16.400000,16.600000,16.600000,6570100
2016-09-30,16.799999,17.000000,16.600000,16.680000,16.680000,5501700
2016-10-03,16.870001,16.980000,16.344999,16.740000,16.740000,7279300
2016-10-04,16.830000,17.620001,16.600000,16.889999,16.889999,11129800
2016-10-05,16.900000,17.680000,16.900000,17.129999,17.129999,9229100
2016-10-06,17.059999,17.129999,16.610001,16.790001,16.790001,5927300
2016-10-07,16.660000,16.768999,16.059999,16.340000,16.340000,5575000
2016-10-10,16.430000,16.500000,15.650000,15.660000,15.660000,7150600
2016-10-11,15.550000,15.680000,14.850000,15.020000,15.020000,7883700
2016-10-12,14.950000,14.950000,14.180000,14.300000,14.300000,7241600
2016-10-13,13.760000,14.390000,13.590000,13.840000,13.840000,10582600
2016-10-14,14.200000,14.200000,13.500000,13.600000,13.600000,6852100
2016-10-17,14.050000,14.290000,13.590000,14.070000,14.070000,7759900
2016-10-18,14.250000,14.580000,14.110000,14.410000,14.410000,6694300
2016-10-19,14.680000,14.860000,14.550000,14.730000,14.730000,5016300
2016-10-20,14.660000,15.030000,14.550000,14.750000,14.750000,4946300
2016-10-21,14.590000,15.120000,14.500000,14.930000,14.930000,4051500
2016-10-24,14.650000,14.750000,13.800000,13.880000,13.880000,9195400
2016-10-25,13.910000,14.109000,13.665000,13.880000,13.880000,3964100
2016-10-26,13.840000,14.300000,13.800000,14.130000,14.130000,3632700
2016-10-27,13.960000,14.340000,13.700000,13.730000,13.730000,3747900
2016-10-28,13.750000,14.040000,13.560000,13.600000,13.600000,2929200
2016-10-31,13.540000,13.600000,12.720000,12.780000,12.780000,7439900
2016-11-01,12.720000,13.000000,12.250000,12.480000,12.480000,5520700
2016-11-02,12.320000,13.090000,12.320000,12.840000,12.840000,5735700
2016-11-03,12.550000,12.600000,11.820000,11.940000,11.940000,9147300
2016-11-04,10.000000,12.470000,9.900000,11.160000,11.160000,29462200
2016-11-07,11.300000,11.350000,10.290000,10.640000,10.640000,10583800
2016-11-08,10.640000,11.160000,10.440000,10.860000,10.860000,5642700
2016-11-09,9.820000,10.420000,9.750000,10.410000,10.410000,7585400
2016-11-10,10.370000,10.670000,10.070000,10.210000,10.210000,3592800
2016-11-11,10.170000,10.360000,9.950000,10.280000,10.280000,3706500
2016-11-14,10.250000,10.500000,10.200000,10.350000,10.350000,3181200
2016-11-15,10.350000,10.400000,10.010000,10.140000,10.140000,4568500
2016-11-16,10.080000,10.140000,9.860000,9.900000,9.900000,4744200
2016-11-17,9.890000,10.090000,9.770000,9.980000,9.980000,4195300
2016-11-18,10.010000,10.070000,9.870000,10.020000,10.020000,3437000
2016-11-21,9.950000,10.230000,9.850000,9.910000,9.910000,4822900
2016-11-22,9.930000,10.000000,9.550000,9.790000,9.790000,5537000
2016-11-23,9.740000,9.940000,9.610000,9.880000,9.880000,2293900
2016-11-25,9.900000,10.080000,9.840000,9.890000,9.890000,1793300
2016-11-28,9.750000,9.920000,9.720000,9.810000,9.810000,2597900
