Date,Open,High,Low,Close,Adj Close,Volume
2016-08-29,74.790001,75.650002,74.500000,75.220001,74.271812,2021900
2016-08-30,74.400002,75.790001,73.839996,74.199997,73.264671,3899200
2016-08-31,74.129997,75.239998,73.900002,74.860001,73.916344,2113900
2016-09-01,74.790001,75.190002,74.209999,75.089996,74.143440,2094400
2016-09-02,75.250000,75.430000,74.209999,74.620003,73.679375,1508800
2016-09-06,74.290001,74.519997,72.250000,73.010002,72.089668,4263600
2016-09-07,73.180000,73.769997,71.570000,72.050003,71.141769,3401000
2016-09-08,71.930000,71.940002,70.839996,71.430000,70.529587,3039400
2016-09-09,70.510002,70.690002,66.059998,66.760002,65.918449,7590700
2016-09-12,66.000000,68.580002,65.760002,68.339996,67.478531,4484100
2016-09-13,68.500000,70.449997,68.250000,69.360001,68.485687,4815800
2016-09-14,69.730003,72.430000,69.510002,72.400002,71.487358,5304900
2016-09-15,73.000000,77.250000,72.980003,77.019997,76.049126,7839200
2016-09-16,77.150002,77.239998,75.000000,76.070000,75.111099,5447700
2016-09-19,76.739998,77.879997,75.790001,76.089996,75.130844,2554500
2016-09-20,76.300003,76.360001,75.019997,75.720001,74.765503,2729000
2016-09-21,76.190002,77.000000,75.699997,76.739998,75.772652,2552400
2016-09-22,77.279999,77.440002,76.370003,76.900002,75.930634,1736500
2016-09-23,76.680000,76.910004,74.059998,74.769997,73.827484,3570300
2016-09-26,73.940002,74.419998,72.730003,72.820000,71.902069,3044600
2016-09-27,72.949997,73.970001,72.349998,73.919998,72.988197,2408600
2016-09-28,74.839996,75.639999,73.849998,74.269997,73.333778,1938100
2016-09-29,73.790001,74.430000,72.059998,73.260002,72.336517,3419800
2016-09-30,73.910004,76.320000,73.879997,76.139999,75.180214,4110200
2016-10-03,75.760002,76.769997,75.160004,75.330002,74.380424,2286000
2016-10-04,75.400002,77.169998,75.400002,76.589996,75.624535,2962000
2016-10-05,77.150002,78.190002,76.809998,77.750000,76.769920,2111300
